term,category,hot_technology
Majestic SEO,Web platform development software,FALSE
MakeMusic Finale,Music or sound editing software,FALSE
Making Waves Audio Making Waves,Music or sound editing software,FALSE
ManageMore Cellular Manager,Point of sale POS software,FALSE
ManageMySpa,Data base user interface and query software,FALSE
Management information base MIB,Network operating system enhancement software,FALSE
Management information systems MIS,Enterprise resource planning ERP software,FALSE
ManagerPlus,Facilities management software,FALSE
Manatron CustomCAMA,Analytical or scientific software,FALSE
Manatron MVP Tax,Tax preparation software,FALSE
Manatron ProVal Plus,Analytical or scientific software,FALSE
Mangold INTERACT,Analytical or scientific software,FALSE
Mangold LogSquare,Analytical or scientific software,FALSE
Mangold Soundalyzer,Analytical or scientific software,FALSE
Manhattan Associates PkMS Pickticket,Inventory management software,FALSE
Manhattan Cross Cultural Group Quality Interactions,Customer relationship management CRM software,FALSE
Manhattan Scale,Materials requirements planning logistics and supply chain software,FALSE
Manhattan Supply Chain Process Platform,Materials requirements planning logistics and supply chain software,FALSE
Manitoba HVDC Research Centre PSCAD,Analytical or scientific software,FALSE
Mannus Compliance: EHS,Compliance software,FALSE
MantisBT,Data base user interface and query software,FALSE
Manufacturing Technology Costimater,Financial analysis software,FALSE
Manufacturing execution system MES,Industrial control software,FALSE
Manufacturing reporting,Inventory management software,FALSE
Manufacturing resource planning MRP,Enterprise resource planning ERP software,FALSE
Manusoft Technologies IMOLD,Computer aided manufacturing CAM software,FALSE
Map Maker,Categorization or classification software,FALSE
Map building,Map creation software,FALSE
MapInfo,Map creation software,FALSE
MapInfo MapMarker,Map creation software,FALSE
MapInfo Professional,Map creation software,FALSE
MapInfo StreetPro,Map creation software,FALSE
MapR Converged Data Platform,Data base management system software,FALSE
MapReduce big data,Business intelligence and data analysis software,FALSE
MapScenes Evidence Recorder,Computer aided design CAD software,FALSE
MapScenes Pro,Computer aided design CAD software,FALSE
MapShots EASi Suite,Analytical or scientific software,FALSE
Mapcom systems M4,Facilities management software,FALSE
Maplesoft Maple,Analytical or scientific software,FALSE
Maplesoft MapleSim,Analytical or scientific software,FALSE
Maplewood Software StaffReady,Medical software,FALSE
Mapping,Map creation software,FALSE
Maptech The CAPN,Route navigation software,FALSE
Maptek Vulcan,Analytical or scientific software,FALSE
Mapthematics GeoCart,Map creation software,FALSE
Marathon Data Systems PestPac,Data base user interface and query software,FALSE
Marathon Data Systems ServiceCEO,Data base user interface and query software,FALSE
MarcoSoft Quo Vadis,Route navigation software,FALSE
Marel production system MPS,Industrial control software,FALSE
MariaDB,Data base management system software,FALSE
Marine Software Marine Planned Maintenance,Facilities management software,FALSE
Marine Software Marine Safety Manager,Document management software,FALSE
MarkLogic,Data base user interface and query software,FALSE
Market forecast,Financial analysis software,FALSE
MarketSharp,Customer relationship management CRM software,FALSE
Marketo Marketing Automation,Sales and marketing software,TRUE
Martens Farms Farm Site Mate,Map creation software,FALSE
Martens Farms Farm Trac,Data base user interface and query software,FALSE
Martin D Adamiker's TruFlite,Map creation software,FALSE
Mass Flux Toolkit,Analytical or scientific software,FALSE
Mass appraisal records system MARS,Analytical or scientific software,FALSE
Massage Suite,Medical software,FALSE
Massive Jet,Graphics or photo imaging software,FALSE
Master Cook Deluxe Professional Cook,Data base user interface and query software,FALSE
Master Merchant Systems Music Store,Point of sale POS software,FALSE
Master Ration Calculator,Analytical or scientific software,FALSE
Master Seafloor Digital Database,Information retrieval or search software,FALSE
Master scheduling,Calendar and scheduling software,FALSE
MasterControl MD,Risk management data and analysis software,FALSE
MasterControl TotalPharma,Risk management data and analysis software,FALSE
MasterControl,Risk management data and analysis software,FALSE
MasterPlan,Financial analysis software,FALSE
MasterWriter,Word processing software,FALSE
Mastercam Design,Computer aided design CAD software,FALSE
Mastercam computer-aided design and manufacturing,Computer aided manufacturing CAM software,FALSE
Masters Software CakeBoss,Enterprise resource planning ERP software,FALSE
MatchWare MindView,Pattern design software,FALSE
Material safety data sheet MSDS,Compliance software,FALSE
Materialise Dental SimPLANT,Medical software,FALSE
Materialise Dental SurgiGuide,Medical software,FALSE
Materials Data Incorporated Jade,Analytical or scientific software,FALSE
Materials inventory,Inventory management software,FALSE
Materials management,Materials requirements planning logistics and supply chain software,FALSE
Materials requirement planning MRP,Materials requirements planning logistics and supply chain software,FALSE
Materials resource planning MRP,Materials requirements planning logistics and supply chain software,FALSE
Materials testing,Analytical or scientific software,FALSE
Materilise Magics,Computer aided manufacturing CAM software,FALSE
Math educational,Computer based training software,FALSE
MathWorks Simulink,Analytical or scientific software,FALSE
MathWorks Simulink DSP Blockset,Analytical or scientific software,FALSE
MathWorks Simulink Fixed-Point Blockset,Analytical or scientific software,FALSE
Mathematical simulation,Analytical or scientific software,FALSE
Mathematical,Analytical or scientific software,FALSE
Matheny Pattern Forecaster Plus,Expert system software,FALSE
Mathsoft Mathcad,Computer aided design CAD software,FALSE
Matrix calculation,Analytical or scientific software,FALSE
Mavenlink,Project management software,FALSE
MaxScript,Development environment software,FALSE
MaxSea TIMEZERO,Map creation software,FALSE
MaxSea Time Zero Navigator NOAA,Route navigation software,FALSE
Maxima,Analytical or scientific software,FALSE
Maximal Software MPL Modeling,Analytical or scientific software,FALSE
Maximizer Software Maximizer Enterprise,Customer relationship management CRM software,FALSE
Maxon BodyPaint 3D,Graphics or photo imaging software,FALSE
Maxon Cinema 4D,Video creation and editing software,FALSE
Maxwell Systems American Contractor,Project management software,FALSE
Maxwell Systems Quest Estimator,Project management software,FALSE
Maya Embedded Language MEL,Development environment software,FALSE
Maya HTT I-DEAS,Analytical or scientific software,FALSE
Mayer-Johnson Boardmaker,Graphics or photo imaging software,FALSE
Maynard PlanStaff Manager,Enterprise resource planning ERP software,FALSE
Mazak Mazatrol SMART CNC,Industrial control software,FALSE
McAfee,Transaction security and virus protection software,FALSE
McAfee Enterprise Security Manager,Risk management data and analysis software,FALSE
McAfee VirusScan,Transaction security and virus protection software,FALSE
McAllister Software Systems AVImark,Medical software,FALSE
McCabe Software TRUEchange,Project management software,FALSE
McKesson ANSOS One-Staff,Calendar and scheduling software,FALSE
McKesson Horizon Ambulatory Care,Medical software,FALSE
McKesson Horizon Anatomic Pathology,Medical software,FALSE
McKesson Horizon Blood Bank,Medical software,FALSE
McKesson Horizon Lab,Medical software,FALSE
McKesson Horizon Lab Financials,Accounting software,FALSE
McKesson Horizon MobileCare Phlebotomy,Medical software,FALSE
McKesson Lytec,Medical software,FALSE
McKesson Practice Plus,Medical software,FALSE
McKesson Radiology Manager,Medical software,FALSE
McNeel Rhinoceros 3D,Graphics or photo imaging software,FALSE
McTrans Center TSIS-CORSIM,Analytical or scientific software,FALSE
McTrans HCS+,Analytical or scientific software,FALSE
McTrans TRANSYT-7F,Analytical or scientific software,FALSE
Mdansby The PsychReport,Medical software,FALSE
Mealmaster Cookbook Wizard,Data base user interface and query software,FALSE
Meals Plus,Data base user interface and query software,FALSE
Mean time between failures MBTF,Analytical or scientific software,FALSE
Mean time to failure MTTF,Analytical or scientific software,FALSE
Measure Square,Project management software,FALSE
Measure Square FloorEstimate Pro,Project management software,FALSE
Meat inventory,Inventory management software,FALSE
MecSoft Corporation RhinoCAM,Computer aided manufacturing CAM software,FALSE
MecSoft Corporation VisualMILL,Computer aided manufacturing CAM software,FALSE
MecSoft Corporation VisualTURN,Computer aided manufacturing CAM software,FALSE
Mechanical electrical plumbing MEP design,Computer aided design CAD software,FALSE
Med Math,Medical software,FALSE
MedDataSolutions Regist*r,Medical software,FALSE
MedEZ behavioral healthcare and substance abuse,Medical software,FALSE
MedEvolve eCeno,Medical software,FALSE
MedFORCE Technologies WorkFLOW,Medical software,FALSE
MedQuist DocQment Enterprise Platform,Medical software,FALSE
MedStar Systems DrWorks,Medical software,FALSE
MedXView eCTDauditor,Document management software,FALSE
MedcomSoft Record,Medical software,FALSE
MedePresence,Medical software,FALSE
Medflow Complete,Medical software,FALSE
Medgate Enterprise EHS,Data base user interface and query software,FALSE
Medgen PED,Medical software,FALSE
MediGraph,Accounting software,FALSE
MediNotes Charting Plus,Medical software,FALSE
MediPro Medisoft Clinical,Medical software,FALSE
MediRegs ComplyTrack,Compliance software,FALSE
MediRegs E-dition Compliance Monitor,Compliance software,FALSE
MediRegs Pharmaceutical Regulation Suite,Compliance software,FALSE
MediRegs Regulation and Reimbursement Suite,Compliance software,FALSE
MediRegs Risk Assessment Manager,Compliance software,FALSE
Media storage management,Storage networking software,FALSE
MediaChance Multimedia Builder,Presentation software,FALSE
MediaNet Solutions e-IEP PRO,Data base user interface and query software,FALSE
MediaShout,Presentation software,FALSE
MediaVue,Web page creation and editing software,FALSE
MediaWiki,Web page creation and editing software,FALSE
Mediasoft mediOFFICE,Medical software,FALSE
MedicWare EMR,Medical software,FALSE
Medicaid management information system MMIS,Medical software,FALSE
Medical Outcome Systems eMINI Software Suite,Medical software,FALSE
Medical Scientists HybridAI,Analytical or scientific software,FALSE
Medical Scientists MediSave,Analytical or scientific software,FALSE
Medical Wizards ER & ICU ToolBox,Information retrieval or search software,FALSE
Medical Wizards ER Suite,Information retrieval or search software,FALSE
Medical Wizards Paramedics ToolBox,Information retrieval or search software,FALSE
Medical billing,Billing and invoicing software,FALSE
Medical calculator,Medical software,FALSE
Medical condition coding,Medical software,FALSE
Medical decision support,Medical software,FALSE
Medical digital imaging,Medical software,FALSE
Medical equipment diagnostic,Medical software,FALSE
Medical image processing,Medical software,FALSE
Medical imaging,Medical software,FALSE
Medical information databases,Information retrieval or search software,FALSE
Medical information,Medical software,FALSE
Medical laser control,Medical software,FALSE
Medical procedure coding,Medical software,FALSE
Medical record charting,Medical software,FALSE
Medical records,Medical software,FALSE
Medical reference,Information retrieval or search software,FALSE
Medical surveillance,Analytical or scientific software,FALSE
Medical system integration,Medical software,FALSE
Medical terminology databases,Information retrieval or search software,FALSE
Medicine Rules PowerSEAT 360,Medical software,FALSE
Medidata Rave Data Management,Data base user interface and query software,FALSE
Meditab IMS Orthopedics/Sports Medicine,Medical software,FALSE
Meditab Software AllergyEHR,Medical software,FALSE
Meditwatch Portaflow Advanced,Medical software,FALSE
Mediware ClosedLoop Clinical,Medical software,FALSE
Mediware Information Systems HCLL Donor,Medical software,FALSE
Mediware Information Systems HCLL Transfusion,Medical software,FALSE
Mediware Information Systems LifeTrak,Medical software,FALSE
Mediware Information Systems MediCOE,Medical software,FALSE
Medovation RadRunner,Medical software,FALSE
Medscribbler Enterprise,Medical software,FALSE
Medstat/INFORUM,Information retrieval or search software,FALSE
Medworxx Learning Management,Computer based training software,FALSE
Meeting scheduling,Calendar and scheduling software,FALSE
MeetingMatrix International,Facilities management software,FALSE
Megger PowerDB,Compliance software,FALSE
MemberClicks COMPLETE,Data base user interface and query software,FALSE
Membership databases,Data base user interface and query software,FALSE
Memphis Survey Explorer,Analytical or scientific software,FALSE
Mendel,Analytical or scientific software,FALSE
Mensurix Audio,Analytical or scientific software,FALSE
Mental Images Mental Ray,Graphics or photo imaging software,FALSE
Mentimeter,Presentation software,FALSE
Mentor Graphics BSDArchitect,Analytical or scientific software,FALSE
Mentor Graphics Calibre,Analytical or scientific software,FALSE
Mentor Graphics Expedition Enterprise,Computer aided design CAD software,FALSE
Mentor Graphics Flowmaster,Analytical or scientific software,FALSE
Mentor Graphics LeonardoSpectrum,Analytical or scientific software,FALSE
Mentor Graphics PADS,Computer aided design CAD software,FALSE
Mentor Graphics Precision RTL,Analytical or scientific software,FALSE
Mentor Graphics VeSys Design,Computer aided design CAD software,FALSE
Mentor Graphics Xpedition xDX Designer,Computer aided design CAD software,FALSE
Mentor Graphics,Computer aided design CAD software,FALSE
Menu and nutrition database,Data base user interface and query software,FALSE
Menu planning,Data base user interface and query software,FALSE
Merge Healthcare Merge RIS,Medical software,FALSE
Merge Healthcare eTrials,Data base user interface and query software,FALSE
MergerStat Control Premiums,Financial analysis software,FALSE
MergerStat Price to Earnings Ratios,Financial analysis software,FALSE
Meridian Technologies SurePoint,Data base user interface and query software,FALSE
Merlin Information Services databases,Data base user interface and query software,FALSE
Merlinco MERLIN,Analytical or scientific software,FALSE
Merry Mechanization SMP/IS,Computer aided manufacturing CAM software,FALSE
Mesh generation,Analytical or scientific software,FALSE
Mesoscale modeling,Analytical or scientific software,FALSE
Mesquite Software CSIM,Analytical or scientific software,FALSE
Meta-analysis with interactive explanations MIX,Analytical or scientific software,FALSE
MetaSystems Isis Color Karyotyping,Analytical or scientific software,FALSE
Metal designing,Computer aided design CAD software,FALSE
Metalcam Fikus Visualcam,Computer aided manufacturing CAM software,FALSE
Metalix CAD/CAM System cncKad,Computer aided manufacturing CAM software,FALSE
Metamation MetaCAM,Computer aided manufacturing CAM software,FALSE
Metasploit,Transaction security and virus protection software,FALSE
MeteorJS,Web platform development software,FALSE
Meter reading,Data base reporting software,FALSE
MethodWare ProAudit Advisor,Financial analysis software,FALSE
Methodware ERA,Compliance software,FALSE
MetricStream Compliance Management,Compliance software,FALSE
MetricStream Enterprise Compliance Platform,Compliance software,FALSE
MetricStream Regulatory Reporting,Compliance software,FALSE
Metrix Imageware Surfacer,Computer aided design CAD software,FALSE
Metrologic Group Metrolog XG,Industrial control software,FALSE
Meyer Instruments Optimas,Analytical or scientific software,FALSE
Mi-Co Mi-Forms,Data base user interface and query software,FALSE
Mi-Co,Data base reporting software,FALSE
Michigan State University MSU ProFlex,Analytical or scientific software,FALSE
Micosoft SQL Server Analysis Services SSAS,Business intelligence and data analysis software,FALSE
Micro Estimating FabPlan,Analytical or scientific software,FALSE
Micro Focus OpenView,Network monitoring software,FALSE
Micro Focus TestPartner,Program testing software,FALSE
Micro J Systems PcHunter,Human resources software,FALSE
Micro Video Video Voice Speech Training,Medical software,FALSE
Micro Video Voice Speech Training,Medical software,FALSE
Micro-Press MicroStation PowerDraft,Graphics or photo imaging software,FALSE
MicroBiz,Point of sale POS software,FALSE
MicroBlast Recipe Wizard for Windows,Data base user interface and query software,FALSE
MicroCog Assessment of Cognitive Functioning,Medical software,FALSE
MicroFit HealthWizard,Data base user interface and query software,FALSE
MicroFocus GroupWise,Electronic mail software,FALSE
MicroFour PracticeStudio.NET EMR,Medical software,FALSE
MicroPress VTeX,Desktop publishing software,FALSE
MicroSolve CAMA,Analytical or scientific software,FALSE
MicroStrategy,Business intelligence and data analysis software,FALSE
MicroStrategy Desktop,Enterprise resource planning ERP software,FALSE
MicroStrategy Report Services,Enterprise resource planning ERP software,FALSE
MicroSurvey FieldGenius,Analytical or scientific software,FALSE
MicroSurvey OfficeSync,Analytical or scientific software,FALSE
MicroSurvey Software MicroSurvey CAD,Computer aided design CAD software,FALSE
MicroSurvey Star*Net,Data base reporting software,FALSE
MicroSurveyCAD,Computer aided design CAD software,FALSE
Microarchitecture simulation,Analytical or scientific software,FALSE
Microchip MPLAB Integrated Development Environment (IDE),Development environment software,FALSE
Microelectromechanical systems MEMS simulation,Analytical or scientific software,FALSE
Micromuse NetCool,Network monitoring software,FALSE
Micronetics Xpert Write-up,Accounting software,FALSE
Micropact entellitrak Labor Relations Edition,Human resources software,FALSE
Microscope imaging,Analytical or scientific software,FALSE
Microscopic image capturing,Medical software,FALSE
Microservices Architecture,Application server software,FALSE
Microsoft .NET Framework,Development environment software,TRUE
Microsoft ASP.NET,Web platform development software,TRUE
Microsoft ASP.NET Core MVC,Web platform development software,FALSE
Microsoft Access,Data base user interface and query software,TRUE
Microsoft Active Directory,Internet directory services software,TRUE
Microsoft Active Server Pages ASP,Web platform development software,TRUE
Microsoft ActiveSync,Mobile operator specific application software,FALSE
Microsoft ActiveX,Object or component oriented development software,FALSE
Microsoft Axapta,Enterprise resource planning ERP software,FALSE
Microsoft Azure Data Factory,Cloud-based management software,FALSE
Microsoft Azure DevOps Services,Development environment software,FALSE
Microsoft Azure Sentinel,Network monitoring software,FALSE
Microsoft Azure,Development environment software,TRUE
Microsoft Bing,Data base user interface and query software,FALSE
Microsoft Business Contact Manager,Customer relationship management CRM software,FALSE
Microsoft Business Intelligence BI,Enterprise resource planning ERP software,FALSE
Microsoft Commerce Server,Web platform development software,FALSE
Microsoft DNS Server,Internet directory services software,FALSE
Microsoft Defender Antivirus,Transaction security and virus protection software,FALSE
Microsoft DirectX,Device drivers or system software,FALSE
Microsoft Dynamics,Enterprise resource planning ERP software,FALSE
Microsoft Dynamics AX,Enterprise resource planning ERP software,FALSE
Microsoft Dynamics CRM,Customer relationship management CRM software,FALSE
Microsoft Dynamics ERP,Enterprise resource planning ERP software,FALSE
Microsoft Dynamics GP,Enterprise resource planning ERP software,FALSE
Microsoft Dynamics Marketing,Data base user interface and query software,FALSE
Microsoft Dynamics NAV,Enterprise resource planning ERP software,FALSE
Microsoft Dynamics SL,Enterprise resource planning ERP software,FALSE
Microsoft ESP SDK,Development environment software,FALSE
Microsoft Edge,Internet browser software,TRUE
Microsoft Entourage,Calendar and scheduling software,FALSE
Microsoft Exchange,Electronic mail software,FALSE
Microsoft Expression Blend,Graphical user interface development software,FALSE
Microsoft Expression Design,Graphics or photo imaging software,FALSE
Microsoft Extensible Application Markup Language (XAML),Development environment software,FALSE
Microsoft FRx,Financial analysis software,FALSE
Microsoft Forefront Identify Manager,Authentication server software,FALSE
Microsoft Forefront Threat Management Gateway,Network security or virtual private network VPN management software,FALSE
Microsoft FrontPage,Web page creation and editing software,FALSE
Microsoft Great Plains Personal Data Keeper,Time accounting software,FALSE
Microsoft High Level Shader Language HLSL,Development environment software,FALSE
Microsoft Hyper-V Server,Operating system software,FALSE
Microsoft Hyperterminal,Platform interconnectivity software,FALSE
Microsoft Image Composite Editor,Graphics or photo imaging software,FALSE
Microsoft Internet Explorer,Internet browser software,FALSE
Microsoft Internet Information Services (IIS),Transaction server software,FALSE
Microsoft Internet Information Services (IIS) Manager,Transaction server software,FALSE
Microsoft MapPoint,Map creation software,FALSE
Microsoft Mobile Explorer MME,Internet browser software,FALSE
Microsoft Money,Financial analysis software,FALSE
Microsoft NetMeeting,Video conferencing software,FALSE
Microsoft Network Monitor,Network monitoring software,FALSE
Microsoft Office Document Imaging,Analytical or scientific software,FALSE
Microsoft Office FrontPage,Web page creation and editing software,FALSE
Microsoft Office Live Meeting,Video conferencing software,FALSE
Microsoft Office Mobile,Office suite software,FALSE
Microsoft Office Outlook,Calendar and scheduling software,FALSE
Microsoft OneNote,Word processing software,FALSE
Microsoft Onfolio,Data base user interface and query software,FALSE
Microsoft Outlook,Electronic mail software,TRUE
Microsoft Paint,Graphics or photo imaging software,FALSE
Microsoft Picture It!,Graphics or photo imaging software,FALSE
Microsoft Playwright,Program testing software,FALSE
Microsoft Power Automate,Enterprise application integration software,TRUE
Microsoft Power BI,Business intelligence and data analysis software,TRUE
Microsoft Power Platform,Enterprise application integration software,TRUE
Microsoft PowerShell,Development environment software,TRUE
Microsoft Proclarity,Data base reporting software,FALSE
Microsoft Project,Project management software,TRUE
Microsoft Publisher,Desktop publishing software,FALSE
Microsoft SQL Server,Data base user interface and query software,TRUE
Microsoft SQL Server Compact,Data base management system software,FALSE
Microsoft SQL Server Integration Services SSIS,Enterprise application integration software,TRUE
Microsoft SQL Server Reporting Services SSRS,Data base reporting software,TRUE
Microsoft Security Esssentials,Transaction security and virus protection software,FALSE
Microsoft SharePoint,Document management software,TRUE
Microsoft SharePoint Server,Document management software,FALSE
Microsoft Silverlight,Web platform development software,FALSE
Microsoft System Center,Enterprise system management software,FALSE
Microsoft Systems Management Server,Enterprise system management software,FALSE
Microsoft Team Foundation Server,Project management software,TRUE
Microsoft Teams,Project management software,TRUE
Microsoft Total Quality Control Management,Data base user interface and query software,FALSE
Microsoft Virtual Server,Application server software,FALSE
Microsoft Visio,Process mapping and design software,TRUE
Microsoft Visual Basic,Development environment software,TRUE
Microsoft Visual Basic Scripting Edition VBScript,Development environment software,FALSE
Microsoft Visual Basic for Applications VBA,Development environment software,TRUE
Microsoft Visual Basic.NET,Object or component oriented development software,FALSE
Microsoft Visual Basic.NET Compact Framework CF,Object or component oriented development software,FALSE
Microsoft Visual C# .NET,Object or component oriented development software,FALSE
Microsoft Visual FoxPro,Object oriented data base management software,FALSE
Microsoft Visual InterDev,Web platform development software,FALSE
Microsoft Visual J++,Development environment software,FALSE
Microsoft Visual SourceSafe,Development environment software,FALSE
Microsoft Visual Studio,Development environment software,TRUE
Microsoft Visual Studio Test Professional,Program testing software,FALSE
Microsoft Visual Studio.NET,Development environment software,FALSE
Microsoft Volume Shadow Copy Service,Backup or archival software,FALSE
Microsoft Windows,Operating system software,TRUE
Microsoft Windows Mobile,Operating system software,FALSE
Microsoft Windows Movie Maker,Video creation and editing software,FALSE
Microsoft Windows PowerShell,Operating system software,FALSE
Microsoft Windows Pre-installation Environment,Operating system software,FALSE
Microsoft Windows SDK,Development environment software,FALSE
Microsoft Windows Server,Operating system software,TRUE
Microsoft Windows Sysprep,Configuration management software,FALSE
Microsoft Windows Terminal Services Access Manager,Gateway software,FALSE
Microsoft Windows Vista Business,Operating system software,FALSE
Microsoft Windows XP,Operating system software,FALSE
Microsoft Windows XP Professional,Operating system software,FALSE
Microsoft Word,Word processing software,TRUE
Microsoft Works,Office suite software,FALSE
Microsoft transact-structural query language T-SQL,Data base management system software,FALSE
Microsys MicroMD,Medical software,FALSE
Microwave circuit simulation,Analytical or scientific software,FALSE
Microwind Dsch,Analytical or scientific software,FALSE
Mideo Systems EZDoc Plus,Graphics or photo imaging software,FALSE
MidiSwing,Music or sound editing software,FALSE
Midland Valley 2DMove,Computer aided design CAD software,FALSE
Midland Valley 3DMove,Computer aided design CAD software,FALSE
Midland Valley Move Suite,Computer aided design CAD software,FALSE
Midrange Software XpertHire,Human resources software,FALSE
Midwest Information Systems PAX-it,Graphics or photo imaging software,FALSE
Midwest MicroSystems Cow Sense,Enterprise resource planning ERP software,FALSE
MightyScout,Sales and marketing software,FALSE
Migration,Platform interconnectivity software,FALSE
Migration testing,Program testing software,FALSE
Milano Spa,Data base user interface and query software,FALSE
Mileage logging,Data base user interface and query software,FALSE
Millennium Software Atrex,Point of sale POS software,FALSE
Millennium SpaSalon,Data base user interface and query software,FALSE
Milliman Corporate Affinity,Financial analysis software,FALSE
Milliman ReservePro,Financial analysis software,FALSE
Millisecond Software Inquisit,Analytical or scientific software,FALSE
Millon Behavioral Medicine Diagnostic,Medical software,FALSE
Milsoft DisSPatch,Industrial control software,FALSE
Mincom MineScape,Data base user interface and query software,FALSE
Mind mapping,Pattern design software,FALSE
MindGenius,Pattern design software,FALSE
MindJet MindManager,Process mapping and design software,FALSE
Mine maintenance,Facilities management software,FALSE
MineGeo,Map creation software,FALSE
MineSight,Computer aided design CAD software,FALSE
Minemax iGantt,Data base user interface and query software,FALSE
Minitab,Analytical or scientific software,FALSE
Minnesota Multiphasic Personality Inventory-2 MMPI-2,Medical software,FALSE
Mintel Reports,Information retrieval or search software,FALSE
MinuteMan Systems MinuteMan Project Management,Project management software,FALSE
Miridia Technology AcuGraph,Medical software,FALSE
Missler Software TopSolid,Computer aided manufacturing CAM software,FALSE
Misys Healthcare Systems Misys Tiger,Medical software,FALSE
Misys Healthcare Systems Mysis Tiger,Medical software,FALSE
Mitchell International Mitchell WorkCenter,Project management software,FALSE
Mitchell Manager Invoicing,Billing and invoicing software,FALSE
Mitchell OnDemand5 Manager,Facilities management software,FALSE
Mitek Systems ImageNet Payments,Graphics or photo imaging software,FALSE
Mitre Software GSLOPE,Analytical or scientific software,FALSE
Mixed code generator,Compiler and decompiler software,FALSE
Mixed integer optimizer MINTO,Analytical or scientific software,FALSE
Mlflow,Analytical or scientific software,FALSE
MobiTech Systems Route Sales Trakker,Data base user interface and query software,FALSE
Mobile Data Software VetInfo,Medical software,FALSE
Mobile Dog Grooming Software mGroomer,Calendar and scheduling software,FALSE
Mobile Knowledge Cabmate,Mobile location based services software,FALSE
Mobile building inspection,Data base reporting software,FALSE
Mobile wireless network infrastructure,Wireless software,FALSE
MobileToys MAIDXL,Data base user interface and query software,FALSE
Modal analysis,Analytical or scientific software,FALSE
ModelKinetix ModelMaker,Analytical or scientific software,FALSE
Modelica,Object or component oriented development software,FALSE
Modellium PariTOP,Data base user interface and query software,FALSE
Modernizing Medicine Practice Management,Medical software,FALSE
Modula,Object or component oriented development software,FALSE
Modular Mining Systems DISPATCH,Analytical or scientific software,FALSE
Modular arrangement of predetermined time standards software MODAPTS,Analytical or scientific software,FALSE
ModuleMD Allergy Module,Medical software,FALSE
Modulo Risk Manager,Compliance software,FALSE
MolDraw,Graphics or photo imaging software,FALSE
Molecular Devices Corporation MetaFluor,Graphics or photo imaging software,FALSE
Molecular Devices Corporation MetaMorph,Graphics or photo imaging software,FALSE
Molecular Devices Softmax Pro,Analytical or scientific software,FALSE
Molecular Networks GmbH Biochemical Pathways,Information retrieval or search software,FALSE
Molecular Simulations WebLab ViewerPro,Graphics or photo imaging software,FALSE
Molecular simulation,Analytical or scientific software,FALSE
Molecular visualization,Analytical or scientific software,FALSE
Molsearch Pro,Data base user interface and query software,FALSE
Monash University Low FODMAP Diet App,Analytical or scientific software,FALSE
MoneySoft Corporate Valuation,Financial analysis software,FALSE
MoneyTree Silver Financial Planner (financial analysis feature),Financial analysis software,FALSE
MoneyTree Silver Financial Planner (presentation feature),Presentation software,FALSE
Monitoring and Remediation Optimization System MAROS,Analytical or scientific software,FALSE
Monte Carlo simulation,Analytical or scientific software,FALSE
Montgomery Investment Technology Bonds XL,Financial analysis software,FALSE
Montgomery Investment Technology Exotics XL,Financial analysis software,FALSE
Montgomery Investment Technology FinTools,Financial analysis software,FALSE
Montgomery Investment Technology Options XL,Financial analysis software,FALSE
Montgomery Investment Technology QuoteTools,Financial analysis software,FALSE
Montgomery Investment Technology Risk XL,Financial analysis software,FALSE
Montgomery Investment Technology SigTools,Financial analysis software,FALSE
Montgomery Investment Technology Utility XL,Charting software,FALSE
Moodle,Computer based training software,FALSE
Moody's KMV CreditEdge,Financial analysis software,FALSE
Moody's KMV Decisions,Financial analysis software,FALSE
Moody's KMV FAMAS,Spreadsheet software,FALSE
Moody's KMV Financial Analyst,Financial analysis software,FALSE
Moody's KMV Risk Advisor,Financial analysis software,FALSE
Moody's KMV Risk Analyst,Financial analysis software,FALSE
Moody's RiskCalc,Financial analysis software,FALSE
Morningstar Principia,Financial analysis software,FALSE
Mortware Professional,Data base user interface and query software,FALSE
Mosby's Drug Consult,Information retrieval or search software,FALSE
Mosby's Nutritrac,Analytical or scientific software,FALSE
Mosflm,Analytical or scientific software,FALSE
Moss Adams Profit Mentor,Financial analysis software,FALSE
Motek Priya,Inventory management software,FALSE
Motion analysis,Analytical or scientific software,FALSE
Motion capture,Video creation and editing software,FALSE
Motion control,Industrial control software,FALSE
Motion correction,Medical software,FALSE
Motor testing,Analytical or scientific software,FALSE
MotorMaster+,Analytical or scientific software,FALSE
Motorola Digital Signal Processing (DSP) Assembler,Development environment software,FALSE
Mount Taylor Programs Private Advantage,Enterprise resource planning ERP software,FALSE
Mountainside Software Allergy Lab,Medical software,FALSE
Moxa,Industrial control software,FALSE
Moxi Works MoxiEngage,Customer relationship management CRM software,FALSE
Moxi Works MoxiImpress,Sales and marketing software,FALSE
Moxi Works MoxiPresent,Presentation software,FALSE
Moz search engine optimization SEO,Web platform development software,FALSE
Mozart Music Software Mozart,Music or sound editing software,FALSE
Mozilla Firefox,Internet browser software,TRUE
Mozilla Thunderbird,Electronic mail software,FALSE
MuleSoft,Enterprise application integration software,FALSE
Multi-center traffic management advisor McTMA,Flight control software,FALSE
Multi-channel contact center,Contact center software,FALSE
Multi-functional calculators,Analytical or scientific software,FALSE
Multi-line optical character reader OCR,Optical character reader OCR or scanning software,FALSE
Multi-router traffic grapher MRTG,Network monitoring software,FALSE
MultiGen Paradigm 3D GIS,Computer aided design CAD software,FALSE
MultiGen Paradigm Vega Prime,Computer aided design CAD software,FALSE
